id;nombre;sigla;fecha_creacion;estado
1;Station Fish Refined Cotton Towels;cro;2021-03-03T03:00:17;84568
2;supply-chains Product;Rev;2021-03-02T14:51:28;17173
3;Brunei Darussalam;opt;2021-03-02T23:40:26;7800
4;bricks-and-clicks Moldovan Leu Bedfordshire;nav;2021-03-03T05:40:44;22213
5;Center Borders;HTT;2021-03-02T13:08:03;42368
6;payment;int;2021-03-03T04:11:46;27090
7;Plaza;Ass;2021-03-03T11:43:39;56757
8;reinvent incentivize calculate;emp;2021-03-03T03:39:31;6478
9;cohesive Cotton Square;wit;2021-03-03T08:41:58;99812
10;Customer;RAM;2021-03-02T12:50:55;38444
