id;nombre;codigo;fecha_creacion;estado;pais_id
1;Chief Creek payment;back-end e-tailers c;2021-03-03T04:07:26;81145;1
2;Checking Account;mission-critical Han;2021-03-03T08:33:42;2915;2
3;bypass Nevada Credit Card Account;payment wireless;2021-03-02T13:18:45;69546;3
4;Communications executive context-sensitive;deposit navigating;2021-03-03T00:36:30;82605;4
5;Fresh;Central;2021-03-02T18:16:19;74283;5
6;extend Personal Loan Account;Facilitator 5th gene;2021-03-02T13:26:09;96395;6
7;Rustic Rustic Central African Republic;Gorgeous;2021-03-02T18:12:28;59757;7
8;Tactics front-end;front-end architectu;2021-03-03T08:24:51;8555;8
9;Specialist withdrawal;Maryland;2021-03-03T07:34:59;35554;9
10;Home Loan Account Minnesota;Argentine Peso;2021-03-02T23:46:24;10991;10
