id;nombre;codigo;fecha_creacion;estado;departamento_id
1;Ranch Cambridgeshire;generating artificia;2021-03-02T15:27:32;1181;1
2;deposit;hack;2021-03-02T20:40:37;11663;2
3;1080p parallelism;Generic;2021-03-03T04:24:36;21967;3
4;Fiji Dollar;Specialist Engineer;2021-03-03T06:02:28;47184;4
5;Montana;invoice microchip Bi;2021-03-02T13:17:57;54068;5
6;parsing responsive South Carolina;program Ball repurpo;2021-03-03T02:59:46;64222;6
7;Sleek Steel Car Human SAS;compelling Panama Ne;2021-03-03T09:53:44;45880;7
8;Electronics;Cambridgeshire;2021-03-03T00:46:42;83761;8
9;Oregon;Investment Account L;2021-03-03T04:03:52;78710;9
10;Louisiana bricks-and-clicks;overriding;2021-03-03T11:31:57;91960;10
