id;nombre;sigla;fecha_creacion;estado
1;matrix XML;mul;2021-03-02T17:05:33;11239
2;Incredible;Hom;2021-03-02T16:32:09;40731
3;Executive virtual;cle;2021-03-02T17:04:58;43198
4;overriding Borders;GB ;2021-03-02T17:00:12;77796
5;Integration Corners Poland;Key;2021-03-02T19:38:53;1242
6;synthesize turquoise Functionality;Glo;2021-03-02T19:22:59;46567
7;unleash;Okl;2021-03-02T23:18:03;39596
8;Division pricing structure;Alg;2021-03-02T17:56:27;628
9;orange Pakistan Generic Soft Car;Web;2021-03-02T21:16:15;5023
10;grey;Col;2021-03-03T05:06:43;40921
