id;nombre;sigla;fecha_creacion;estado
1;Executive Nebraska ivory;Cre;2021-03-02T16:50:49;30985
2;Avon;vir;2021-03-03T03:42:02;97481
3;Markets Shoals withdrawal;Usa;2021-03-02T21:16:39;77283
4;US Dollar;Sou;2021-03-03T04:01:30;29524
5;Row;SDD;2021-03-03T05:27:23;57765
6;Concrete e-enable deposit;Ala;2021-03-02T15:00:10;69078
7;Yen Pants intangible;pro;2021-03-03T02:41:59;47579
8;Technician methodologies;byp;2021-03-03T11:36:29;76660
9;synthesize Extended;Nor;2021-03-02T13:05:37;47247
10;Automotive Burundi Franc;int;2021-03-03T02:42:21;65903
