id;nombre;sigla;fecha_creacion;estado
1;Money Market Account;pri;2021-03-02T19:41:07;76320
2;Handcrafted Wooden Cheese calculate Myanmar;Lak;2021-03-03T01:52:07;61638
3;back-end;Kuw;2021-03-02T15:37:04;28760
4;Home Director Toys;sol;2021-03-02T15:37:17;60268
5;Incredible Soft Car;CFA;2021-03-03T05:29:19;59280
6;Central payment;Ass;2021-03-03T07:48:12;54509
7;back-end Unbranded Granite Chair;Bri;2021-03-03T07:59:23;3465
8;invoice collaborative;Sal;2021-03-02T18:00:22;62294
9;iterate copying;Ber;2021-03-02T21:44:19;13189
10;Functionality Direct;Reg;2021-03-02T17:34:26;78443
