id;nombre;codigo;fecha_creacion;estado
1;Buckinghamshire;24/7;2021-03-03T00:38:56;41101
2;Small Fresh Cheese;Supervisor Berkshire;2021-03-03T02:06:44;50552
3;Small;transmitter Borders;2021-03-03T07:56:02;3798
4;Hat;Small Plastic Chair ;2021-03-03T05:55:09;72820
5;digital Electronics bleeding-edge;content auxiliary;2021-03-02T19:55:14;46285
6;Dynamic 1080p;Row installation Awe;2021-03-03T11:32:20;536
7;Unbranded;orange Avon;2021-03-03T10:39:57;66593
8;Gorgeous;Practical Rubber Chi;2021-03-03T08:33:47;19489
9;Data Wooden;Ports Future South C;2021-03-03T01:12:04;71846
10;RSS asymmetric;intuitive Investment;2021-03-02T16:34:58;28881
