id;nombre;sigla;fecha_creacion;estado
1;navigate Isle intranet;sal;2021-03-02T23:36:07;1705
2;turquoise;cop;2021-03-02T19:28:27;79855
3;Ford Handcrafted Baht;Hom;2021-03-03T09:42:18;79261
4;Gloves Incredible Christmas Island;opt;2021-03-02T13:07:57;21687
5;Maine Factors;Coo;2021-03-03T02:43:03;39336
6;Division Delaware;Fan;2021-03-02T18:25:50;25123
7;users;Isl;2021-03-02T19:47:32;6069
8;input Streets Chair;Bot;2021-03-03T01:23:04;867
9;Liaison virtual;fri;2021-03-03T03:36:09;83701
10;wireless Greenland National;Ohi;2021-03-03T02:31:39;84955
