id;nombre;sigla;fecha_creacion;estado
1;Panama Concrete;sol;2021-03-02T14:17:52;99639
2;productivity Metal Home Loan Account;bes;2021-03-02T22:21:46;81208
3;Devolved Car;bus;2021-03-02T23:31:43;85614
4;program monitor;Gra;2021-03-02T18:26:18;82714
5;Ramp fault-tolerant Kids;Adm;2021-03-02T17:54:57;78739
6;Albania HDD Baby;Sle;2021-03-03T08:07:11;78673
7;User-friendly;Int;2021-03-03T10:43:26;61291
8;Metal;oli;2021-03-03T02:59:03;68295
9;card;cap;2021-03-03T06:14:48;98073
10;Tunnel Supervisor time-frame;Inv;2021-03-02T22:39:23;34990
